parent_chembl_id,name,molecule_type,max_phase,first_approval,withdrawn_flag,canonical_smiles,standard_inchi,standard_inchi_key,full_mwt,mw_freebase,alogp,psa,hbd,hba,num_ro5_violations,n_approved_forms,approved_form_chembl_ids,approved_form_names,has_parent_smiles,bbb_martins_probability,bbb_positive,high_confidence_bbb,rdkit_parse_ok,n_fragments,multifragment_flag,elements,special_elements,other_elements,special_element_flag,other_element_flag,heavy_atoms,rotatable_bonds,torsion_gt32_flag,formal_charge,abs_formal_charge,mol_wt_rdkit,tpsa_rdkit,clogp_rdkit,hbd_rdkit,hba_rdkit,ring_count,manual_review_flag,technical_exclusion_reason,docking_compatible,pdbqt_file,vina_affinity_kcal_mol,status,pose_file,log_file,vina_rank
CHEMBL1311,ISOSORBIDE MONONITRATE,Small molecule,4.0,1991.0,0,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,"InChI=1S/C6H9NO6/c8-3-1-11-6-4(13-7(9)10)2-12-5(3)6/h3-6,8H,1-2H2/t3-,4+,5+,6+/m0/s1",YWXYYJSYQOXTPL-SLPGGIOYSA-N,191.14,191.14,-1.28,91.06,1.0,6.0,0.0,1,CHEMBL1311,ISOSORBIDE MONONITRATE,1,0.9393625736236572,True,True,True,1,False,C;N;O,,,False,False,13,2,False,0,0,191.139,91.06000000000002,-1.2782000000000004,1,6,2,False,,True,ligands_pdbqt/CHEMBL1311.pdbqt,-5.527,completed,vina_screening_full/poses/CHEMBL1311_out.pdbqt,vina_screening_full/logs/CHEMBL1311.log,648
CHEMBL605846,OLODATEROL,Small molecule,4.0,2014.0,0,COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,"InChI=1S/C21H26N2O5/c1-21(2,10-13-4-6-15(27-3)7-5-13)22-11-18(25)16-8-14(24)9-17-20(16)28-12-19(26)23-17/h4-9,18,22,24-25H,10-12H2,1-3H3,(H,23,26)/t18-/m0/s1",COUYJEVMBVSIHV-SFHVURJKSA-N,386.45,386.45,2.38,100.05,4.0,6.0,0.0,2,CHEMBL2105743;CHEMBL605846,OLODATEROL;OLODATEROL HYDROCHLORIDE,1,0.5319586217403411,True,False,True,1,False,C;N;O,,,False,False,28,7,False,0,0,386.44800000000015,100.05,2.3760000000000003,4,6,3,False,,True,ligands_pdbqt/CHEMBL605846.pdbqt,-5.525,completed,vina_screening_full/poses/CHEMBL605846_out.pdbqt,vina_screening_full/logs/CHEMBL605846.log,649
CHEMBL282724,SITAXENTAN,Small molecule,4.0,2006.0,1,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,"InChI=1S/C18H15ClN2O6S2/c1-9-5-13-14(26-8-25-13)7-11(9)6-12(22)17-15(3-4-28-17)29(23,24)21-18-16(19)10(2)20-27-18/h3-5,7,21H,6,8H2,1-2H3",PHWXUGHIIBDVKD-UHFFFAOYSA-N,454.91,454.91,3.96,107.73,1.0,8.0,0.0,2,CHEMBL2105740;CHEMBL282724,SITAXENTAN;SITAXENTAN SODIUM,1,0.7545651197433472,True,False,True,1,False,C;Cl;N;O;S,,,False,False,29,6,False,0,0,454.9130000000002,107.73,3.9612400000000014,1,8,4,False,,True,ligands_pdbqt/CHEMBL282724.pdbqt,-5.522,completed,vina_screening_full/poses/CHEMBL282724_out.pdbqt,vina_screening_full/logs/CHEMBL282724.log,650
CHEMBL1474889,CLOBUTINOL,Small molecule,4.0,1961.0,1,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,"InChI=1S/C14H22ClNO/c1-11(10-16(3)4)14(2,17)9-12-5-7-13(15)8-6-12/h5-8,11,17H,9-10H2,1-4H3",KVHHQGIIZCJATJ-UHFFFAOYSA-N,255.79,255.79,2.83,23.47,1.0,2.0,0.0,1,CHEMBL1474889,CLOBUTINOL,1,0.96559237241745,True,True,True,1,False,C;Cl;N;O,,,False,False,17,5,False,0,0,255.789,23.47,2.831200000000001,1,2,1,False,,True,ligands_pdbqt/CHEMBL1474889.pdbqt,-5.513,completed,vina_screening_full/poses/CHEMBL1474889_out.pdbqt,vina_screening_full/logs/CHEMBL1474889.log,651
CHEMBL990,BUTENAFINE,Small molecule,4.0,1996.0,0,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,"InChI=1S/C23H27N/c1-23(2,3)21-14-12-18(13-15-21)16-24(4)17-20-10-7-9-19-8-5-6-11-22(19)20/h5-15H,16-17H2,1-4H3",ABJKWBDEJIDSJZ-UHFFFAOYSA-N,317.48,317.48,5.77,3.24,0.0,1.0,1.0,2,CHEMBL1200397;CHEMBL990,BUTENAFINE;BUTENAFINE HYDROCHLORIDE,1,0.9730506539344788,True,True,True,1,False,C;N,,,False,False,24,4,False,0,0,317.476,3.24,5.769300000000006,0,1,3,False,,True,ligands_pdbqt/CHEMBL990.pdbqt,-5.513,completed,vina_screening_full/poses/CHEMBL990_out.pdbqt,vina_screening_full/logs/CHEMBL990.log,652
CHEMBL517712,ATROPINE,Small molecule,4.0,1960.0,0,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15+,16?",RKUNBYITZUJHSG-SPUOUPEWSA-N,289.38,289.38,1.93,49.77,1.0,4.0,0.0,2,CHEMBL2146146;CHEMBL517712,ATROPINE;ATROPINE SULFATE,1,0.9041798114776612,True,True,True,1,False,C;N;O,,,False,False,21,4,False,0,0,289.37500000000006,49.77,1.9309,1,4,3,False,,True,ligands_pdbqt/CHEMBL517712.pdbqt,-5.509,completed,vina_screening_full/poses/CHEMBL517712_out.pdbqt,vina_screening_full/logs/CHEMBL517712.log,653
CHEMBL1624126,XANTHINOL,Small molecule,4.0,,0,CN(CCO)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,"InChI=1S/C13H21N5O4/c1-15(4-5-19)6-9(20)7-18-8-14-11-10(18)12(21)17(3)13(22)16(11)2/h8-9,19-20H,4-7H2,1-3H3",DSFGXPJYDCSWTA-UHFFFAOYSA-N,311.34,311.34,-2.28,105.52,2.0,9.0,0.0,2,CHEMBL1560089;CHEMBL1624126,XANTHINOL;XANTHINOL NIACINATE,1,0.6900818645954132,True,False,True,1,False,C;N;O,,,False,False,22,6,False,0,0,311.34200000000004,105.52,-2.281299999999997,2,6,2,False,,True,ligands_pdbqt/CHEMBL1624126.pdbqt,-5.501,completed,vina_screening_full/poses/CHEMBL1624126_out.pdbqt,vina_screening_full/logs/CHEMBL1624126.log,654
CHEMBL1773,CAPECITABINE,Small molecule,4.0,1998.0,0,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,"InChI=1S/C15H22FN3O6/c1-3-4-5-6-24-15(23)18-12-9(16)7-19(14(22)17-12)13-11(21)10(20)8(2)25-13/h7-8,10-11,13,20-21H,3-6H2,1-2H3,(H,17,18,22,23)/t8-,10-,11-,13-/m1/s1",GAGWJHPBXLXJQN-UORFTKCHSA-N,359.35,359.35,0.76,122.91,3.0,8.0,0.0,1,CHEMBL1773,CAPECITABINE,1,0.7417541980743408,True,False,True,1,False,C;F;N;O,,,False,False,25,6,False,0,0,359.35400000000004,122.91,0.7601999999999995,3,7,2,False,,True,ligands_pdbqt/CHEMBL1773.pdbqt,-5.498,completed,vina_screening_full/poses/CHEMBL1773_out.pdbqt,vina_screening_full/logs/CHEMBL1773.log,655
CHEMBL697,METHSUXIMIDE,Small molecule,4.0,1957.0,0,CN1C(=O)CC(C)(c2ccccc2)C1=O,"InChI=1S/C12H13NO2/c1-12(9-6-4-3-5-7-9)8-10(14)13(2)11(12)15/h3-7H,8H2,1-2H3",AJXPJJZHWIXJCJ-UHFFFAOYSA-N,203.24,203.24,1.33,37.38,0.0,2.0,0.0,1,CHEMBL697,METHSUXIMIDE,1,0.9970088124275208,True,True,True,1,False,C;N;O,,,False,False,15,1,False,0,0,203.241,37.38,1.333,0,2,2,False,,True,ligands_pdbqt/CHEMBL697.pdbqt,-5.495,completed,vina_screening_full/poses/CHEMBL697_out.pdbqt,vina_screening_full/logs/CHEMBL697.log,656
CHEMBL1618018,HOMATROPINE,Small molecule,4.0,,0,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,"InChI=1S/C16H21NO3/c1-17-12-7-8-13(17)10-14(9-12)20-16(19)15(18)11-5-3-2-4-6-11/h2-6,12-15,18H,7-10H2,1H3/t12-,13+,14+,15?",ZTVIKZXZYLEVOL-MCOXGKPRSA-N,275.35,275.35,1.89,49.77,1.0,4.0,0.0,2,CHEMBL1319362;CHEMBL1618018,HOMATROPINE;HOMATROPINE HYDROBROMIDE,1,0.9318018317222596,True,True,True,1,False,C;N;O,,,False,False,20,3,False,0,0,275.34800000000007,49.77,1.8884,1,4,3,False,,True,ligands_pdbqt/CHEMBL1618018.pdbqt,-5.494,completed,vina_screening_full/poses/CHEMBL1618018_out.pdbqt,vina_screening_full/logs/CHEMBL1618018.log,657
